state,county,pop_total_2019,median_age_2019,median_income_2019,households_median_value_2019,households_avg_size_2019,households_total_2019,households_median_gross_rent_2019,mean_travel_time_2019,pop_total_male_rate_2019,pop_total_female_rate_2019,pop_18_39_male_rate_2019,pop_18_39_female_rate_2019,pop_40_64_male_rate_2019,pop_40_64_female_rate_2019,pop_over_65_male_rate_2019,pop_over_65_female_rate_2019,veterans_rate_2019,inmigrants_rate_2019,white_rate_2019,black_rate_2019,native_rate_2019,asian_rate_2019,pacific_rate_2019,other_rate_2019,hispanic_rate_2019,two_more_races_rate_2019,high_school_rate_2019,bachelors_rate_2019,poverty_rate_2019,households_renter_rate_2019,households_owner_rate_2019,unemployment_rate_2019,public_transport_rate_2019,no_health_insurance_rate_2019,county_fips
28,113,39532,37.2,31784,95500,2.67,14404,717,13589,47.41,52.59,12.82,14.34,14.2,15.72,7.02,9.6,4.83,0.67,43.8,54.28,0.5,0.32,0.0,0.43,1.59,0.68,19.2,6.66,31.97,30.99,69.01,4.93,0.12,13.54,28113
28,115,31618,36.6,44759,106500,2.91,10783,722,12977,48.36,51.64,13.55,13.7,15.65,15.83,6.49,8.19,5.58,3.41,77.69,16.03,0.05,0.08,0.0,4.87,6.87,1.29,15.79,7.38,15.99,28.73,71.27,6.08,0.03,15.67,28115
28,117,25255,39.2,39256,92700,2.64,9145,588,9449,48.09,51.91,15.01,13.68,14.75,16.31,7.17,10.44,4.24,1.96,83.61,10.03,0.07,2.19,0.0,0.42,1.5,3.68,18.8,5.43,20.89,27.27,72.73,7.65,0.02,11.89,28117
28,119,7187,38.7,25283,50900,2.32,3027,568,2165,46.78,53.22,13.04,14.3,14.78,17.68,6.89,9.73,3.17,0.43,26.98,72.02,0.0,0.22,0.0,0.18,1.22,0.6,16.43,4.45,34.74,41.33,58.67,20.17,0.0,16.99,28119
28,121,152677,37.8,65996,162500,2.63,55909,983,71828,48.23,51.77,14.57,15.4,15.33,16.5,6.35,8.39,5.07,2.86,75.57,20.78,0.17,1.16,0.03,1.04,2.75,1.26,14.2,12.83,8.02,23.49,76.51,4.23,0.0,9.0,28121
28,123,28332,36.4,34943,71300,2.76,10180,707,10835,49.6,50.4,13.72,14.62,14.85,15.34,6.39,8.49,4.09,7.23,57.22,38.09,0.43,0.26,0.0,3.3,11.28,0.7,20.4,4.5,25.2,25.88,74.12,6.91,0.53,16.96,28123
28,125,4404,41.2,29394,64400,2.44,1751,510,1547,46.23,53.77,11.19,13.76,13.99,18.51,8.2,9.99,3.16,1.0,25.07,74.57,0.11,0.0,0.0,0.25,0.11,0.0,14.17,8.81,26.75,35.92,64.08,16.17,0.32,17.42,28125
28,127,26888,39.5,43850,87900,2.77,9486,660,10476,48.34,51.66,13.27,13.12,15.28,17.17,7.56,9.6,5.17,1.06,61.83,36.64,0.01,0.55,0.0,0.0,0.25,0.96,14.83,8.11,18.96,20.26,79.74,7.52,0.0,13.82,28127
28,129,16009,41.5,43105,102600,2.73,5820,587,5842,48.87,51.13,12.15,12.3,15.77,17.0,8.34,10.61,5.06,0.95,75.76,22.96,0.0,0.53,0.23,0.11,1.75,0.41,23.74,4.58,18.75,16.98,83.02,4.3,0.08,13.92,28129
28,131,18276,38.7,45483,112800,2.77,6334,680,7729,50.33,49.67,14.92,15.08,16.08,16.17,8.05,8.0,8.68,0.83,78.24,18.34,0.19,0.0,0.09,0.0,2.02,3.14,18.62,7.46,18.96,25.48,74.52,3.48,0.11,11.88,28131
